time,symbol,action,entry,sl,tp,exit,pnl,reason,exit_reason,volume_lots,equity_before,equity_after,pnl_cum
2025-07-02 13:20:00+00:00,EURUSD,sell,1.1776200000000001,1.1784424285714288,1.1757284142857143,1.1757284142857143,64.97526684277068,"Contexte vendeur: trend_sell_ok, Supertrend down, ADX>min, pentes SMA20/100 négatives, biais HTF baissier, session New York en overlap; vol_rel/atr_ratio > seuils. Contre: prix au-dessus de la SMA20 et ATR légèrement en repli. SL/TP calibrés via ATR.; conf=0.66; size×=0.50",TP,0.42,15000.0,15064.97526684277,64.97526684277068
2025-07-02 15:05:00+00:00,EURUSD,sell,1.17547,1.176352,1.1733532,1.176352,-37.903148257381474,"Contexte vendeur aligné: trend_sell_ok, supertrend down, slopes 20/100<0, prix sous SMA20, ADX fort, biais HTF négatif, session NY (overlap). Vol/ATR > seuils, RSI 35 non extrême. SL≈1.8*ATR, RR≈2.4.; conf=0.76; size×=0.58",SL,0.46,15064.98,15027.072118585389,27.072118585389205
2025-07-03 10:35:00+00:00,EURUSD,buy,1.18092,1.1800980714,1.1830570142999999,1.1800980714,-32.45042597389153,"Achat privilégié: alignement haussier (trend_buy_ok, Supertrend up, ADX 23>20, slopes SMA>0, dist_sma20>0), session London et biais HTF positif; volatilité/ATR au-dessus des seuils. Prudence: RSI 74.6 (surachat).; conf=0.66; size×=0.50",SL,0.42,15027.07,14994.621692611498,-5.378307388502321
2025-07-03 15:50:00+00:00,EURUSD,sell,1.17243,1.174746,1.166641,1.174746,-30.747638037596296,"Vente favorisée: forte convergence baissière (supertrend down, ADX>min avec DI- dominant, slopes<0, prix sous SMA, htf_bias<0), session New York en overlap, vol_rel et atr_ratio largement au‑dessus des seuils. Seul bémol: RSI=22 (survente) → prudence. loss_pressure=1.25: edge net requis, score SELL >> BUY.; conf=0.71; size×=0.50",SL,0.15,14994.62,14963.874054573902,-36.12594542609862
2025-07-04 08:05:00+00:00,EURUSD,buy,1.1780599999999999,1.1775144285714285,1.179260257142857,1.1775144285714285,-34.3285808808141,"Confluence haussière nette: trend_buy_ok, Supertrend up, ADX>min, pentes SMA20/100 positives, prix au-dessus de SMA20, session London et biais HTF ≥0. Vol/ATR au-dessus des seuils, pas d’événement bloquant, spread nul. Loss_pressure modéré → SL/TP légèrement prudents.; conf=0.66; size×=0.50",SL,0.64,14963.87,14929.545473693088,-70.45452630691273
2025-07-07 10:05:00+00:00,EURUSD,sell,1.17549,1.1763870714285714,1.1735164428571427,1.1735164428571427,61.449944031469784,"Contexte nettement baissier: trend_sell_ok, Supertrend down, pentes SMA20/100 négatives et prix sous SMA20; ADX fort avec DI- dominant; session London. Vol/ATR > seuils. Seul bémol: RSI très bas (survente) → prudence. Loss_pressure faible, edge suffisant pour short.; conf=0.68; size×=0.50",TP,0.38,14929.55,14990.995417724558,-9.004582275442942
2025-07-07 11:50:00+00:00,EURUSD,sell,1.1733500000000001,1.1743746430000002,1.170890857,1.1743746430000002,-32.16129578813429,"Confluence baissière forte: trend_sell_ok, supertrend down, ADX élevé, pentes SMA20/100 négatives, prix sous SMA20, session London et biais HTF baissier. RSI très bas = risque de rebond, d’où SL modérément large et RR adapté.; conf=0.66; size×=0.50",SL,0.34,14991.0,14958.834121936425,-41.16587806357723
2025-07-07 19:50:00+00:00,EURUSD,sell,1.17059,1.1721362857142859,1.1665696571428572,1.1721362857142859,-33.404375437352,"Setup baissier aligné et seuils de volatilité dépassés: vol_rel 1.78 et atr_ratio 1.82 > mins (1.1/1.0). trend_sell_ok, Supertrend down, ADX 26.8≥20, slopes négatifs et prix sous SMA20, biais HTF -2.5, session New York. RSI 28.5 proche oversold → légère pénalité. Pas de news/cooldown/spread. SELL avec SL/TP calibrés à l’ATR.; conf=0.74; size×=0.55",SL,0.24,14958.83,14925.429746499072,-74.57025350092923
2025-07-09 15:05:00+00:00,EURUSD,sell,1.16961,1.170276,1.1680782,1.170276,-35.16331264586212,"Confluence bearish: Supertrend down, ADX>min with -DI>>+DI, price below SMA20 with negative slopes (20/100), NY session with overlap, and bearish HTF bias. Vol_rel and ATR_ratio clear minima; minor penalties from slight uptick and ATR_ratio just above min. Using ~1.8*ATR SL and ~2.3 RR TP.; conf=0.73; size×=0.53",SL,0.55,14925.43,14890.26643385321,-109.73356614679135
2025-07-09 16:20:00+00:00,EURUSD,sell,1.17175,1.1729117,1.1688457,1.1729117,-30.829442635001183,"Edge net pour une vente: vol/ATR au-dessus des seuils, supertrend baissier, ADX>min, htf_bias négatif et session New York. RSI suracheté (>78) décourage l’achat. Contre-arguments: pentes SMA20/100 légèrement haussières. Loss_pressure modéré → approche prudente mais signal sell supérieur.; conf=0.66; size×=0.50",SL,0.29,14890.27,14859.43699121821,-140.56300878179252
