time,symbol,action,entry,sl,tp,exit,pnl,reason,pnl_cum
2025-08-20 04:10:00+00:00,EURUSD,buy,1.16383,1.1635085714285713,1.1643121428571428,1.1635085714285713,-0.0003214285714285836,Close au-dessus du SMA20 (1.16383 > 1.163778) indique un biais haussier. Sl basé sur ATR (0.0003214285714285677); TP à 1.5× ATR (0.0004821428571428515) pour un ratio risque/rendement raisonnable.,-0.0003214285714285836
2025-08-20 04:25:00+00:00,EURUSD,sell,1.16288,1.1632242857142856,1.1621914285714285,1.1632242857142856,-0.0003442857142856859,Prix de clôture en dessous de la SMA20 (1.16288 < 1.163625) => biais baissier; ATR = 0.0003443 indique volatilité; spread nul; risque 0.0003443 pour potentiel gain 0.0006886 (RR ≈ 1:2).,-0.0006657142857142695
2025-08-20 04:35:00+00:00,EURUSD,sell,1.1632,1.1635542857142858,1.1625,1.1625,0.0006999999999999229,"Close price (1.1632) is below the 20-period SMA (1.1635235), indicating bearish bias. ATR/volatility ~0.00035; set SL ≈ ATR and TP ≈ 0.00070 for a favorable reward/risk.",3.428571428565341e-05
2025-08-20 05:05:00+00:00,EURUSD,sell,1.16238,1.162775,1.16159,1.162775,-0.0003949999999999232,Close below SMA20 (bearish bias). ATR ~0.000395; use 1 ATR SL and 2 ATR TP.,-0.0003607142857142698
2025-08-20 05:20:00+00:00,EURUSD,sell,1.16256,1.16331,1.16106,1.16331,-0.0007500000000000284,"Close below the 20-period SMA (1.16256 < 1.1631735) suggesting bearish bias; ATR ~0.000373 indicates low volatility; setting SL=0.00075, TP=0.0015.",-0.0011107142857142982
2025-08-20 06:10:00+00:00,EURUSD,buy,1.16294,1.1625992857142857,1.1636214285714286,1.1636214285714286,0.0006814285714284996,"Prix close au-dessus de la SMA20 (1.16294 > 1.16277) indiquant un momentum haussier; ATR pour SL et TP (SL ≈ ATR, TP ≈ 2*ATR); spread nul.",-0.00042928571428579865
2025-08-20 06:55:00+00:00,EURUSD,buy,1.1633,1.1629571428571428,1.1639857142857142,1.1639857142857142,0.0006857142857141785,Close above SMA20; bullish signal. Set stop at 1 ATR and take profit at 2 ATR; spread is zero.,0.0002564285714283798
2025-08-20 09:00:00+00:00,EURUSD,sell,1.1633,1.1635492857142857,1.1628014285714285,1.1628014285714285,0.0004985714285714593,"Prix actuel en dessous de la SMA20, tendance baissiere; ATR indique volatilite recente; SL = 1 ATR, TP = 2 ATR (RR env. 1:2).",0.0007549999999998391
2025-08-20 09:10:00+00:00,EURUSD,sell,1.1626400000000001,1.16297,1.16165,1.16297,-0.00032999999999994145,Close is below SMA20 (bearish signal). ATR ~0.00033 supports a stop near 1x ATR; set TP ~3x SL to aim for favorable risk-reward.,0.0004249999999998977
2025-08-20 09:20:00+00:00,EURUSD,sell,1.16261,1.1630099999999999,1.16181,1.1630099999999999,-0.00039999999999995595,Close below SMA20 (1.16261 < 1.1634545); distance to SMA ≈0.00084 (~2.1 ATR). Bearish bias; protective SL ≈1 ATR above entry and TP ≈2 ATR below entry.,2.4999999999941735e-05
2025-08-20 09:35:00+00:00,EURUSD,sell,1.16333,1.1638021428571428,1.1623857142857144,1.1638021428571428,-0.0004721428571428099,Clôture sous le SMA20 indiquant une pression baissière; ATR utilisé pour fixer le SL (ATR) et le TP (2×ATR).,-0.00044714285714286817
